,word,positive count,negative count,positive sentiment,negative sentiment
0,forget,78,1,0.42845,-0.0258
1,child,1,16,0.5267,-0.74294375
2,Macron,3,1,0.752566666667,0.0
3,daughter's,23,1,0.7642,-0.8074
4,legal,1,2,0.128,-0.7506
5,hanging,1,6,0.6597,-0.5247
6,go,3,9,0.5328,-0.351277777778
7,Bye,1,2,0.3382,-0.7506
8,buddy,1,6,0.0772,-0.52255
9,concerned,1,9,0.0772,0.0
10,Watch,4,3,0.8051,-0.164633333333
11,young,4,3,0.4767,-0.1468
12,Nolte,4,24,0.44985,-0.598416666667
13,finally,2,7,0.0772,-0.245028571429
14,Corden,27,2,0.457774074074,-0.50795
15,Not,2,16,0.2483,-0.28501875
16,must,2,4,0.55615,-0.3649
17,worth,1,1,0.2263,0.0
18,sent,1,1,0.0772,0.0
19,is.,2,1,0.5106,-0.3572
20,And,7,91,0.525414285714,-0.291862637363
21,woman,3,17,0.590666666667,-0.284723529412
22,Anything,4,1,0.5574,0.0
23,far,1,40,0.2732,-0.702285
24,Had,1,4,0.4019,-0.395025
25,ALL,2,2,0.3668,-0.52325
26,women's,6,1,0.408433333333,-0.4767
27,I'd,1,3,0.91,-0.178366666667
28,every,7,29,0.621614285714,-0.0216482758621
29,accuse,1,3,0.1511,-0.5926
30,fall,1,3,0.6369,-0.230266666667
31,#weinsteinscandal,1,2,0.3182,-0.3982
32,I'm,1,13,0.5994,-0.237261538462
33,little,1,2,0.0772,-0.17975
34,Where,2,148,0.5521,-0.574114864865
35,cool,1,1,0.6808,-0.2748
36,dio,1,19,0.6369,0.0
37,Just,5,8,0.38794,-0.197875
38,skills,2,1,0.5106,-0.3612
39,MONEY,1,1,0.5622,-0.0688
40,SNL,1,4,0.296,-0.367275
41,p,1,59,0.6908,-0.4588
42,joke,2,4,0.296,-0.428775
43,#MakeATVShowHorroriffic,1,1,0.872,0.0
44,Go,2,4,0.28395,-0.403125
45,movie,1,12,0.91,-0.315733333333
46,guy,4,2,0.614925,-0.125
47,Kevin,74,1,0.4149,-0.4404
48,Take,1,1,0.7027,0.0
49,Ä,996,5382,0.493861044177,-0.209449368265
50,says,8,22,0.4911375,-0.353445454545
51,Lawsuits,1,9,0.3182,-0.5839
52,me.,2,2,0.7003,0.0
53,shut,1,1,0.6458,-0.7964
54,Should,1,1,0.4939,0.0
55,Rico,2,1,0.296,-0.9001
56,video,5,9,0.37388,-0.171788888889
57,lawyer,5,6,0.34712,-0.301983333333
58,Reilly,1,4,0.7656,-0.968
59,run,2,5,0.2566,-0.28618
60,Red,3,1,0.8979,-0.4588
61,Gave,1,3,0.5423,-0.7039
62,even,6,170,0.6932,-0.0944394117647
63,Trump's,5,4,0.5859,-0.5277
64,sue,4,1,0.4019,0.0
65,Jessica,2,1,0.5574,0.0
66,giving,3,1,0.259766666667,-0.2584
67,BREAKING,7,63,0.590242857143,-0.595796825397
68,shares,3,1,0.296,-0.2023
69,Bombshell,1,2,0.3612,0.0
70,Tucker,1,1,0.2462,-0.5859
71,sobre,1,9,0.6369,0.0
72,conduct,1,22,0.1531,-0.532063636364
73,Put,13,2,0.4215,0.0
74,Video,8,1,0.5266625,0.0
75,America,1,19,0.4939,-0.649084210526
76,ever,4,3,0.2108,-0.4895
77,public,3,7,0.5609,-0.480942857143
78,told,1,172,0.2023,-0.158081976744
79,Me,7,117,0.507042857143,-0.00925384615385
80,full,1,1,0.25,-0.0966
81,Georgina,1,62,0.4019,-0.0718451612903
