,word,positive count,negative count,positive sentiment,negative sentiment
0,hats,6.0,5709.0,0.33505,-0.789992590646
1,NYT,3.0,36.0,0.2609,-0.664641666667
2,whoopi,1.0,1.0,0.4215,-0.34
3,protest,2.0,6.0,0.1777,-0.617983333333
4,Does,7.0,2.0,0.604557142857,-0.17
5,sleep,4.0,5.0,0.75995,-0.6516
6,NYC,19.0,10.0,0.8287,0.0
7,saved,191.0,9.0,0.690897905759,-0.402888888889
8,marching,1.0,3.0,0.0258,-0.5563
9,up.,21.0,10.0,0.553757142857,-0.84759
10,POWER,2.0,1.0,0.4753,-0.0129
11,tweet,5.0,2.0,0.55104,-0.4643
12,Watch,4.0,29.0,0.39615,-0.472668965517
13,supported,3.0,2.0,0.377633333333,-0.27115
14,voted,5.0,1.0,0.57136,-0.2023
15,Nasty,13.0,159.0,0.493092307692,-0.642152830189
16,compassion,1.0,1.0,0.8299,-0.6908
17,women's,31.0,11.0,0.658267741935,-0.733118181818
18,every,3.0,38.0,0.432733333333,-0.209465789474
19,GO,3.0,1.0,0.6557,-0.4753
20,screaming,23.0,6.0,0.744526086957,-0.652633333333
21,encounter,1.0,7.0,0.4588,-0.5459
22,married,1.0,2.0,0.4767,-0.3085
23,DISGUSTING,1.0,3.0,0.5368,-0.8645
24,.....,7.0,6.0,0.462842857143,-0.4466
25,Desperate,2.0,3.0,0.0772,-0.396233333333
26,Go,2.0,5.0,0.22365,-0.22886
27,commented,1.0,2.0,0.1779,0.0
28,Ä,1157.0,1821.0,0.455694727744,-0.553927018122
29,Mitch,2.0,1.0,0.5428,-0.6166
30,me.,4.0,4.0,0.3782,-0.194425
31,second,1.0,3.0,0.8225,-0.264
32,7th,1.0,1.0,0.3382,-0.4404
33,TRASH,5.0,2.0,0.44976,-0.6705
34,monster,189.0,1.0,0.6908,-0.2714
35,even,6.0,26.0,0.4189,-0.535007692308
36,established,2.0,2.0,0.1901,-0.5682
37,stardom,4.0,2977.0,0.40635,-0.80106147128
38,hate,1.0,10.0,0.128,-0.38593
39,victims,160.0,232.0,0.437621875,-0.814234482759
40,sobre,1.0,1.0,0.3818,-0.636
41,new,5.0,12.0,0.39356,-0.35325
42,ever,12.0,484.0,0.418925,-0.216503305785
43,told,6.0,11.0,0.57555,-0.554709090909
44,Made,2.0,7.0,0.0772,-0.467814285714
45,hero,15.0,4.0,0.596493333333,-0.5072
46,never,17.0,46.0,0.412682352941,-0.463576086957
47,reported,189.0,16.0,0.6908,-0.05755625
48,100,2.0,2.0,0.3612,-0.7585
49,aren't,3.0,3.0,0.466066666667,-0.4636
50,kids,1.0,5.0,0.5142,-0.2263
51,daughter,6.0,6.0,0.520266666667,-0.279966666667
52,changed,2.0,1.0,0.2263,-0.1263
53,NOT,154.0,27.0,0.458101298701,-0.270466666667
54,NOW,2.0,1.0,0.5645,-0.8192
55,Å,2.0,6.0,0.3182,-0.631666666667
56,campaign,1.0,1.0,0.2168,-0.7177
57,Harvey,386.0,5080.0,0.529785233161,-0.662767913386
58,highly,1.0,1.0,0.0935,-0.3053
59,Also,3.0,12.0,0.344733333333,-0.635791666667
60,moral,1.0,1.0,0.7203,-0.2714
61,total,1.0,7.0,0.4404,-0.744928571429
62,spoke,7.0,17.0,0.525085714286,-0.624358823529
63,would,38.0,41.0,0.510521052632,-0.452958536585
64,Reporter,4.0,1.0,0.59615,-0.321
65,WHO,1.0,2.0,0.5368,-0.8459
66,call,15.0,9.0,0.415446666667,-0.711977777778
67,type,2.0,2.0,0.6212,-0.2621
68,tell,60.0,12.0,0.443036666667,-0.414741666667
69,females,1.0,1.0,0.2003,-0.34
70,supporters,3.0,2.0,0.7435,-0.2521
71,phony,4.0,2.0,0.357425,-0.24915
72,award,20.0,1.0,0.676025,-0.6331
73,aware,3.0,2.0,0.328633333333,-0.44095
74,warn,1.0,1.0,0.69,-0.6476
75,naaasty,1.0,1.0,0.5449,-0.8268
76,adult,1.0,1.0,0.34,-0.6908
77,V,1.0,1.0,0.3182,-0.4404
78,90,5.0,2.0,0.4456,0.0
79,hold,2.0,1.0,0.4408,-0.2921
80,sorry,4.0,24.0,0.604025,-0.330354166667
81,must,34.0,6.0,0.192579411765,-0.41415
82,locked,3.0,4.0,0.337666666667,-0.3662
83,wore,3.0,1.0,0.8007,-0.296
84,1997,1.0,8.0,0.4767,-0.5780875
85,rights,3.0,12.0,0.5002,-0.675308333333
86,mo,2.0,9.0,0.0935,-0.293944444444
87,work,16.0,5.0,0.51318125,-0.5428
88,hizo,2.0,4.0,0.0935,-0.2744
89,movies,20.0,6.0,0.28869,-0.448416666667
90,locker,1.0,3003.0,0.8072,-0.801067898768
91,example,4.0,3.0,0.514475,-0.787533333333
92,DianeSawyer,1.0,1.0,0.6486,-0.4939
93,give,10.0,40.0,0.4977,-0.4362175
94,Jerry,1.0,1.0,0.8225,0.0
95,honey,2.0,1.0,0.4921,-0.3818
96,want,17.0,60.0,0.463811764706,-0.391028333333
97,keep,17.0,9.0,0.441029411765,-0.548122222222
98,looser,2.0,1.0,0.8388,-0.6057
99,Meets,4.0,1.0,0.4978,-0.902
100,end,1.0,1.0,0.4215,-0.6249
101,thing,198.0,10.0,0.686564141414,-0.57933
102,complaining,1.0,4.0,0.5983,-0.7579
103,sitting,2.0,5.0,0.36305,-0.52286
104,stupidity,2.0,1.0,0.7005,-0.4404
105,accusations,1.0,8.0,0.3182,-0.6304125
106,answer,2.0,1.0,0.2971,-0.8422
107,A,167.0,156.0,0.464890419162,-0.568864102564
108,mouths,1.0,2.0,0.3612,-0.431
109,mess,2.0,1.0,0.35105,-0.7777
110,earlier,1.0,1.0,0.2382,-0.7845
111,Will,36.0,5720.0,0.452533333333,-0.78885236014
112,wrong,2.0,17.0,0.49885,-0.595670588235
113,Creepy,53.0,8.0,0.352256603774,-0.389875
114,president,5.0,6.0,0.6369,-0.694016666667
115,lesbian,2.0,1.0,0.25,-0.5411
116,las,3.0,2.0,0.372366666667,-0.63845
117,All,3.0,13.0,0.691866666667,-0.503361538462
118,......,2.0,1.0,0.37405,0.0
119,think,42.0,46.0,0.498935714286,-0.408632608696
120,CALL,1.0,4.0,0.508,-0.6369
121,Another,3.0,7.0,0.4148,-0.452142857143
122,sont,2.0,1.0,0.6369,-0.0516
123,first,125.0,265.0,0.4857936,-0.197366792453
124,Sexual,5.0,21.0,0.567,-0.43159047619
125,wing,2.0,1.0,0.806,-0.8934
126,consent,1.0,2.0,0.8041,-0.0386
127,ó,4.0,4.0,0.485775,-0.723675
128,misconduct,3.0,2.0,0.0258,-0.6486
129,Decades,31.0,33.0,0.223780645161,-0.559833333333
130,bombing,1.0,1.0,0.5562,-0.4939
131,His,1.0,5.0,0.3612,-0.49828
132,#BerlinStation,1.0,1.0,0.5095,-0.431
133,somewhere,2.0,2.0,0.3953,-0.7906
134,Offered,4.0,118.0,0.2427,-0.766287288136
135,crew,1.0,1.0,0.4329,-0.5574
136,better,8.0,3.0,0.2959875,-0.364233333333
137,weeks,28.0,2.0,0.289546428571,-0.4755
138,Hil,4.0,6.0,0.2427,-0.389083333333
139,Him,7.0,7.0,0.508328571429,-0.588957142857
140,Bobby,1.0,2.0,0.7017,-0.25
141,safe,1.0,2.0,0.8658,-0.01935
142,break,1.0,5.0,0.8316,-0.54168
143,Delevigne,2.0,1.0,0.45905,0.0
144,Sets,13.0,14.0,0.574023076923,-0.362892857143
145,Womens,2.0,20.0,0.60185,-0.94492
146,Liberal,50.0,41.0,0.27335,-0.566863414634
147,Hats,3.0,1.0,0.8007,-0.4019
148,#nastywoman,2.0,3.0,0.8225,-0.576
149,l,1.0,3.0,0.4404,-0.863533333333
150,rocks,1.0,1.0,0.2732,-0.7762
151,Curious,3.0,1.0,0.3854,-0.6705
152,went,11.0,33.0,0.589781818182,-0.665196969697
153,side,2.0,3.0,0.4958,-0.3483
154,mean,3.0,11.0,0.639466666667,-0.452554545455
155,deo,2.0,1.0,0.7783,-0.571
156,Stars,2.0,1.0,0.2842,-0.2263
157,Feminist,3.0,5.0,0.307166666667,-0.4825
158,Wow,4.0,2.0,0.428025,-0.3308
159,crimes,2.0,8.0,0.408,-0.4019
160,naaaasty,1.0,8.0,0.3612,-0.8172
161,GOOD,2.0,2.0,0.47615,-0.6705
162,Hippocrates,2.0,1.0,0.68775,-0.7412
163,sounds,2.0,1.0,0.3612,-0.4019
164,open,5.0,5.0,0.5354,-0.62846
165,washed,20.0,2.0,0.57772,-0.21075
166,Madonna's,1.0,2.0,0.5859,-0.7622
167,is.,2.0,6.0,0.2732,-0.7794
168,got,10.0,192.0,0.43411,-0.494571875
169,Must,1.0,19.0,0.3612,-0.529078947368
170,turning,2.0,3.0,0.5794,-0.671966666667
171,you're,20.0,11.0,0.260265,-0.490654545455
172,little,11.0,11.0,0.575481818182,-0.514490909091
173,standard,1.0,2.0,0.1901,-0.54705
174,admits,6.0,2.0,0.178183333333,-0.5237
175,N.Y.,1.0,4.0,0.5106,-0.5423
176,W,3.0,12.0,0.3448,-0.3293
177,wanted,6.0,5.0,0.3916,-0.34178
178,BTW,3.0,1.0,0.5555,-0.4767
179,Clinton,54.0,53.0,0.563040740741,-0.586198113208
180,exposing,1.0,47.0,0.3815,-0.5106
181,Hinted,2.0,1.0,0.8708,-0.476
182,Photo,2.0,2.0,0.25985,-0.6361
183,days,7.0,2.0,0.576328571429,-0.4694
184,Human,1.0,2.0,0.4215,0.0
185,diggers,1.0,1.0,0.4374,-0.7633
186,loud,4.0,3.0,0.406425,-0.198
187,already,9.0,2.0,0.385822222222,-0.5489
188,rant,1.0,43.0,0.443,-0.781955813953
189,Handler,3.0,3.0,0.643233333333,-0.389566666667
190,another,16.0,15.0,0.4596375,-0.66412
191,service,1.0,5.0,0.3485,-0.5267
192,top,1.0,2.0,0.2023,-0.371
193,≠,35.0,36.0,0.51708,-0.124736111111
194,needed,1.0,1.0,0.2111,-0.4939
195,hollywood,2.0,4.0,0.45505,-0.4797
196,bitter,1.0,39.0,0.0258,-0.417261538462
197,listen,1.0,3.0,0.3182,-0.684966666667
198,serve,1.0,2.0,0.4767,-0.9274
199,took,8.0,18.0,0.5081,-0.458177777778
200,.com,19.0,73.0,0.362615789474,-0.503628767123
201,roles,3.0,4.0,0.433666666667,-0.4796
202,scenes,16.0,1.0,0.2263,-0.7506
203,Sex,36.0,215.0,0.235552777778,-0.643455813953
204,shower,6.0,3.0,0.36325,-0.477566666667
205,matter,2.0,1.0,0.0258,-0.2225
206,See,1.0,2.0,0.4404,-0.1366
207,friend,13.0,2.0,0.504446153846,-0.3448
208,AFTAL,2.0,1.0,0.25985,-0.7003
209,Ç,6.0,2.0,0.565466666667,-0.58515
210,mind,1.0,9.0,0.4374,-0.4533
211,mine,1.0,1.0,0.9769,-0.9428
212,talking,12.0,16.0,0.402316666667,-0.5899875
213,rap,2.0,1.0,0.27155,-0.4767
214,seen,7.0,4.0,0.495457142857,-0.650625
215,seem,3.0,5.0,0.5267,-0.42338
216,Then,2.0,6.0,0.71445,-0.9011
217,Christian,1.0,1.0,0.8299,0.0
218,Oscars,3.0,3.0,0.604966666667,-0.357466666667
219,NEVER,1.0,15.0,0.2415,-0.0556466666667
220,Let's,6.0,2.0,0.371116666667,-0.63
221,They,27.0,104.0,0.521822222222,-0.823483653846
222,Ask,5.0,48.0,0.57716,-0.429647916667
223,Ash,1.0,2.0,0.3382,-0.4934
224,blue,1.0,8.0,0.6115,-0.4215
225,¬,126.0,18.0,0.506395238095,-0.538144444444
226,though,7.0,3.0,0.332585714286,-0.753833333333
227,enablers,5.0,2.0,0.50822,-0.5788
228,mouth,29.0,22.0,0.430917241379,-0.5138
229,dog,1.0,2.0,0.7003,-0.4111
230,#Twitter,1.0,1.0,0.5574,-0.321
231,reputation,2.0,1.0,0.3094,-0.6705
232,scream,1.0,1.0,0.5393,-0.8324
233,came,12.0,25.0,0.5947,-0.18492
234,saying,22.0,85.0,0.246036363636,-0.870255294118
235,Colbert,4.0,1.0,0.3382,-0.2942
236,sexism,1.0,1.0,0.7003,-0.3818
237,touches,3.0,1.0,0.399333333333,-0.5423
238,busy,2.0,1.0,0.35495,-0.5
239,Big,3.0,3.0,0.4807,-0.1341
240,explain,2.0,4.0,0.3988,-0.396075
241,#MeToo,2.0,4.0,0.8442,-0.351775
242,touched,1.0,2.0,0.4374,-0.5771
243,Others,1.0,4.0,0.4621,-0.5423
244,wearing,9.0,5752.0,0.356844444444,-0.787746123088
245,√,93.0,171.0,0.463703225806,-0.429458479532
246,McGowan,91.0,29.0,0.439936263736,-0.532237931034
