,word,positive count,negative count,positive sentiment,negative sentiment
0,What,2.0,59.0,0.39475,-0.0204881355932
1,FYI,1.0,1.0,0.368,0.0
2,words,1.0,5.0,0.4215,0.0
3,don't,1.0,158.0,0.8126,-0.00440253164557
4,agree,1.0,6.0,0.8756,0.0
5,money,1.0,3809.0,0.8756,-0.000226279863481
6,Self,2.0,4.0,0.39475,0.0
7,supported,1.0,3.0,0.5106,0.0
8,Retweeted,1.0,15.0,0.5106,-0.0509066666667
9,actress,1.0,44.0,0.1027,-0.0336159090909
10,years,1.0,117.0,0.296,-0.0233931623932
11,ì,1.0,44.0,0.7003,-0.0191431818182
12,Does,1.0,8.0,0.3182,0.0
13,including,1.0,6.0,0.1027,0.0
14,tweeted,1.0,36.0,0.4939,-0.0378222222222
15,fine,1.0,2.0,0.5106,0.0
16,whose,3.0,7.0,0.7297,0.0
17,Her,3.0,1770.0,0.513366666667,0.0
18,he's,3.0,4.0,0.4173,0.0
19,rose,4.0,263.0,0.6015,-0.0152558935361
20,tweet,3.0,182.0,0.399133333333,0.0
21,show,2.0,12.0,0.4853,-0.0498583333333
22,Watch,2.0,201.0,0.39475,0.0
23,character,3.0,1.0,0.7297,0.0
24,better,5.0,9.0,0.68518,0.0
25,going,1.0,21.0,0.4939,-0.0340428571429
26,Christopher,1.0,1.0,0.1027,0.0
27,York,1.0,8.0,0.7003,-0.074
28,pretty,2.0,59.0,0.8285,-0.00906101694915
29,tweets,1.0,112.0,0.1759,-0.161323214286
30,2017,2.0,192.0,0.70495,0.0
31,women,8.0,316.0,0.3785,-0.0538212025316
32,feminism,3.0,19.0,0.4173,0.0
33,take,2.0,163.0,0.3071,-0.00408098159509
34,Sound,1.0,2.0,0.1027,0.0
35,On,1.0,273.0,0.0258,-0.00277619047619
36,good,5.0,43.0,0.49934,0.0
37,Ashley,13.0,160.0,0.427115384615,-0.0838775
38,ok,1.0,2.0,0.7506,0.0
39,Oh,1.0,194.0,0.7964,0.0
40,Did,2.0,24.0,0.671,-0.093825
41,powerful,1.0,35.0,0.4754,-0.41116
42,"100,000",3.0,36.0,0.188866666667,-0.315072222222
43,McGowan,63.0,17649.0,0.411865079365,-0.00884435945379
44,watch,1.0,7.0,0.8126,0.0
45,feels,1.0,3.0,0.5106,0.0
46,made,1.0,24.0,0.4404,0.0
47,every,1.0,26.0,0.3612,0.0
48,She,2.0,1650.0,0.39475,-0.0105218181818
49,anonymous,1.0,132.0,0.3612,0.0
50,report,10.0,19.0,0.32205,-0.0155789473684
51,OK,1.0,4.0,0.4466,0.0
52,I'm,1.0,61.0,0.2263,0.0
53,one,1.0,151.0,0.4215,-0.0270059602649
54,Where,1.0,3.0,0.5106,0.0
55,day,1.0,97.0,0.3612,0.0
56,HRC,1.0,1.0,0.296,0.0
57,look,1.0,37.0,0.4404,-0.0205810810811
58,Reveals,1.0,19.0,0.3612,-0.485215789474
59,showing,1.0,2.0,0.6054,0.0
60,like,8.0,167.0,0.4617125,-0.0021628742515
61,lost,1.0,4.0,0.2263,0.0
62,always,2.0,20.0,0.77385,0.0
63,message,13.0,2.0,0.307107692308,0.0
64,Mcgowan,2.0,77.0,0.37565,-0.0501441558442
65,list,1.0,246.0,0.4404,0.0
66,they've,1.0,2.0,0.4767,0.0
67,memoir,1.0,3.0,0.3612,-0.180766666667
68,jokes,1.0,10.0,0.5106,0.0
69,peak,1.0,1.0,0.7506,0.0
70,mean,2.0,8.0,0.3397,-0.08695
71,still,1.0,29.0,0.5456,0.0
72,Ä,29.0,8545.0,0.373965517241,-0.00494502047981
73,brave,2.0,213.0,0.8756,0.0
74,says,1.0,3770.0,0.1027,-0.000295384615385
75,For,3.0,45.0,0.4966,0.0
76,porn,1.0,1.0,0.4404,-0.3612
77,Rose,65.0,17818.0,0.410750769231,-0.00897716915479
78,Wow,1.0,10.0,0.8126,0.0
79,me.,1.0,11.0,0.8126,0.0
80,yeah,1.0,1.0,0.1027,0.0
81,hush,1.0,258.0,0.8756,-0.00163372093023
82,Hillary's,1.0,1.0,0.4754,0.0
83,sure,2.0,10.0,0.5839,-0.08306
84,shes,1.0,3.0,0.802,0.0
85,pass,3.0,1.0,0.4173,0.0
86,gave,4.0,3.0,0.332275,0.0
87,calling,1.0,16.0,0.3612,0.0
88,ú,1.0,97.0,0.4404,0.0
89,declined,1.0,5.0,0.6486,0.0
90,seems,1.0,7.0,0.3612,0.0
91,†,1.0,66.0,0.3612,-0.0149287878788
92,settlement,3.0,24.0,0.1027,-0.0277166666667
93,harvey,1.0,7.0,0.6054,0.0
94,09,1.0,1.0,0.7003,0.0
95,denied,1.0,1.0,0.6054,0.0
96,shares,15.0,1.0,0.305626666667,0.0
97,victims,1.0,37.0,0.8756,-0.13227027027
98,asking,1.0,95.0,0.4939,-0.0166442105263
99,abt,1.0,25.0,0.3612,-0.021692
100,timeline,1.0,1.0,0.6054,0.0
101,probably,1.0,1.0,0.4404,0.0
102,issue,1.0,9.0,0.3182,0.0
103,Me,1.0,1174.0,0.4939,-0.00079531516184
104,check,2.0,1.0,0.3413,0.0
105,never,1.0,16.0,0.4767,-0.02634375
106,recently,1.0,2.0,0.3612,0.0
107,business,1.0,39.0,0.4404,-0.102066666667
108,Yup,1.0,23.0,0.0772,0.0
109,K,1.0,23.0,0.0772,0.0
110,men,1.0,76.0,0.4404,-0.320221052632
111,story,1.0,72.0,0.296,-0.00998055555556
112,allegations,5.0,179.0,0.296,-0.191966480447
113,Judd,12.0,170.0,0.44805,-0.0789435294118
114,water,1.0,1.0,0.5106,0.0
115,Against,1.0,21.0,0.0258,-0.0258238095238
116,ask,1.0,6.0,0.5106,0.0
117,article,1.0,161.0,0.6486,-0.00273540372671
118,100,3.0,50.0,0.1354,-0.067654
119,wanted,1.0,23.0,0.4767,0.0
120,come,2.0,168.0,0.5796,-0.00091130952381
121,2007,1.0,2.0,0.7506,-0.0516
122,wait,1.0,6.0,0.5456,0.0
123,Is,4.0,46.0,0.4404,-0.0155413043478
124,great,1.0,5.0,0.8074,0.0
125,cryptic,15.0,3.0,0.305626666667,0.0
126,actual,1.0,2.0,0.4404,0.0
127,Give,2.0,5.0,0.39475,0.0
128,industry,1.0,5.0,0.1759,0.0
129,30,1.0,9.0,0.296,-0.0170111111111
130,fame,1.0,5.0,0.4404,-0.1448
131,experience,1.0,1.0,0.4466,0.0
132,honest,1.0,2.0,0.7351,0.0
133,credit,1.0,1.0,0.6486,0.0
134,person,1.0,20.0,0.7351,0.0
135,Including,1.0,2.0,0.296,0.0
136,Gala,1.0,1.0,0.7003,0.0
137,w,1.0,45.0,0.4215,-0.0648222222222
138,it's,1.0,27.0,0.6486,-0.0352888888889
139,settled,2.0,35.0,0.3239,-0.0738485714286
140,think,1.0,37.0,0.8126,-0.00918918918919
141,Speak,1.0,150.0,0.1027,-0.00361533333333
142,comment,1.0,7.0,0.6486,0.0
143,relevant,4.0,4.0,0.4404,0.0
144,love,2.0,38.0,0.7992,0.0
145,campaign,1.0,2.0,0.4754,0.0
146,Harvey,25.0,3331.0,0.319712,-0.017304052837
147,Support,1.0,10.0,0.0258,0.0
148,When,1.0,12.0,0.4939,0.0
149,private,1.0,24.0,0.4754,0.0
150,Fight,1.0,3.0,0.0258,0.0
151,Entertainment,1.0,6.0,0.4215,0.0
152,right,1.0,37.0,0.3612,-0.0209648648649
153,But,3.0,45.0,0.4173,-0.0453866666667
154,THEY,1.0,1.0,0.8756,-0.6289
155,ô,5.0,1700.0,0.4328,-0.00559741176471
156,reached,4.0,22.0,0.1027,-0.0154545454545
157,Hollywood,6.0,1937.0,0.49125,-0.0143958182757
158,Speaks,1.0,24.0,0.3612,-0.406725
159,ù,1.0,88.0,0.4404,0.0
160,post,1.0,21.0,0.3182,0.0
161,speak,2.0,33.0,0.48355,-0.0259363636364
162,use,1.0,23.0,0.3612,0.0
163,silent,1.0,72.0,0.1759,-0.1016875
164,I've,1.0,22.0,0.7351,-0.0827045454545
165,23,1.0,3.0,0.7003,0.0
166,people,2.0,186.0,0.2192,-0.00287419354839
167,due,1.0,21.0,0.6486,0.0
168,least,1.0,18.0,0.1027,0.0
169,anyone,2.0,140.0,0.67615,0.0
170,w.,1.0,1.0,0.3612,-0.5423
171,taken,1.0,140.0,0.4754,0.0
172,Post,1.0,37.0,0.4466,0.0
173,friend,3.0,3.0,0.5658,0.0
174,Women,2.0,1104.0,0.0258,-0.022814673913
175,head,4.0,159.0,0.66645,-0.0424616352201
176,October,1.0,6.0,0.7096,0.0
177,innocent,1.0,1.0,0.4404,0.0
178,settlements,2.0,7.0,0.27155,-0.0485714285714
179,offered,1.0,4198.0,0.4215,0.0
180,took,1.0,103.0,0.8756,-0.0579155339806
181,forward,1.0,158.0,0.6486,0.0
182,Revolution,4.0,11.0,0.4404,0.0
183,...,1.0,436.0,0.5106,-0.0132472477064
184,daughter,1.0,9.0,0.4767,0.0
185,worked,1.0,28.0,0.7351,0.0
186,Starting,4.0,9.0,0.4404,0.0
187,Heroes,1.0,2.0,0.7003,-0.362
188,must,1.0,3.0,0.4404,0.0
189,And,2.0,103.0,0.3612,-0.24207184466
190,10,1.0,195.0,0.5456,0.0
191,13,1.0,28.0,0.0516,0.0
192,Advice,2.0,4.0,0.39475,0.0
193,join,1.0,1.0,0.5106,0.0
194,last,1.0,31.0,0.7506,-0.0609129032258
195,1997,2.0,12.0,0.1027,0.0
196,To,1.0,2862.0,0.5106,-0.000440880503145
197,Twitter,1.0,450.0,0.0258,0.0
198,getting,2.0,90.0,0.82225,0.0
199,see,1.0,162.0,0.4939,0.0
200,record,1.0,1.0,0.0772,0.0
201,vs,1.0,2.0,0.3182,0.0
202,#HarveyWeinstein,1.0,16.0,0.7351,-0.04255
203,believed,1.0,3.0,0.7351,0.0
