word,positive count,negative count,positive sentiment,negative sentiment
RoseMcGowan,138,36042,0.410750769,-0.008977169
HarveyWeinstein,58,13527,0.338084375,-0.009255653
money,1,3809,0.8756,-0.00022628
Hollywood,6,1937,0.49125,-0.014395818
Her,5,3420,0.513366667,0
Me,1,1174,0.4939,-0.000795315
Women,10,1420,0.0258,-0.022814674
brave,2,213,0.8756,0
rape,1,210,0.8496,-0.015956667
AshleyJudd,25,330,0.44805,-0.078943529
like,8,167,0.4617125,-0.002162874
anonymous,1,132,0.3612,0
men,1,76,0.4404,-0.320221053
silent,1,72,0.1759,-0.1016875
pretty,2,59,0.8285,-0.009061017
actresses,1,46,0.4215,-0.114886957
business,1,39,0.4404,-0.102066667
love,2,38,0.7992,0
Film,1,39,0.7506,0
victims,1,37,0.8756,-0.13227027
